paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,5,1.256,377,,steel,PoD,dry,,23,AM,,1.75,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,0,TiO2,10,20,1.256,754,,steel,PoD,dry,,23,AM,,2.80,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 10 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 20 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,0,TiO2,20,5,1.256,377,,steel,PoD,dry,,23,AM,,1.10,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 20 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,0,TiO2,20,5,1.256,754,,steel,PoD,dry,,23,AM,,1.00,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 20 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,0,TiO2,20,10,1.256,377,,steel,PoD,dry,,23,AM,,1.90,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 20 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 10 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,0,TiO2,20,10,1.256,754,,steel,PoD,dry,,23,AM,,1.60,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 20 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 10 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,0,TiO2,20,15,1.256,377,,steel,PoD,dry,,23,AM,,2.325,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 20 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 15 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,0,TiO2,20,15,1.256,754,,steel,PoD,dry,,23,AM,,1.80,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 20 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 15 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,0,TiO2,20,20,1.256,377,,steel,PoD,dry,,23,AM,,2.84,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 20 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 20 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,80,0,0,0,0,TiO2,20,20,1.256,754,,steel,PoD,dry,,23,AM,,2.00,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 20 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 20 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,0,TiO2,30,5,1.256,377,,steel,PoD,dry,,23,AM,,0.95,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 30 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,0,TiO2,30,5,1.256,754,,steel,PoD,dry,,23,AM,,0.80,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 30 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,0,TiO2,30,10,1.256,377,,steel,PoD,dry,,23,AM,,1.60,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 30 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 10 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,0,TiO2,30,10,1.256,754,,steel,PoD,dry,,23,AM,,1.20,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 30 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 10 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,0,TiO2,30,15,1.256,377,,steel,PoD,dry,,23,AM,,1.80,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 30 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 15 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,0,TiO2,30,15,1.256,754,,steel,PoD,dry,,23,AM,,1.35,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 30 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 15 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,0,TiO2,30,20,1.256,377,,steel,PoD,dry,,23,AM,,2.00,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 30 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 20 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,70,0,0,0,0,TiO2,30,20,1.256,754,,steel,PoD,dry,,23,AM,,1.60,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 30 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 20 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
