paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
KULKARNI2014,other,0,0,0,0,0,ZnO,5,15,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.3944,0.002682,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 1; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,35,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.2230,0.001048,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 17; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,35,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.1600,0.001033,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 18; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,15,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.5125,0.002403,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 19; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,15,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.4013,0.002122,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 20; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,15,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.4848,0.002338,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 21; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,25,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.2863,0.001294,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 22; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,25,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.3766,0.001747,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 23; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,25,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.2723,0.001378,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 24; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,35,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.2683,0.000898,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 25; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,35,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.2271,0.000994,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 26; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,15,35,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.2747,0.000721,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 27; ABS + 15 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
