paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
VIKRAM2024,PA6,100,0,0,0,0,,,10,1.05,2835,,steel,PoD,dry,,25,injection,0.50,0.000014,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 10 N; 200 rpm (1.05 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,10,4.19,11313,,steel,PoD,dry,,25,injection,0.30,0.0000022,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 800 rpm (4.19 m/s); 45 min; Figs. 11 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,20,1.05,2835,,steel,PoD,dry,,25,injection,0.27,0.0000020,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 200 rpm (1.05 m/s); 45 min; Figs. 11 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,20,2.09,5643,,steel,PoD,dry,,25,injection,0.31,0.0000022,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 400 rpm (2.09 m/s); 45 min; Figs. 11 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,20,4.19,11313,,steel,PoD,dry,,25,injection,0.33,0.0000025,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 800 rpm (4.19 m/s); 45 min; Figs. 11 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,30,1.05,2835,,steel,PoD,dry,,25,injection,0.24,0.0000017,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 200 rpm (1.05 m/s); 45 min; Figs. 11 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,30,2.09,5643,,steel,PoD,dry,,25,injection,0.27,0.0000019,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 400 rpm (2.09 m/s); 45 min; Figs. 11 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,30,4.19,11313,,steel,PoD,dry,,25,injection,0.29,0.0000021,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 800 rpm (4.19 m/s); 45 min; Figs. 11 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,10,1.05,2835,,steel,PoD,dry,,25,injection,0.35,0.0000028,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 200 rpm (1.05 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,10,2.09,5643,,steel,PoD,dry,,25,injection,0.38,0.0000030,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 400 rpm (2.09 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,10,4.19,11313,,steel,PoD,dry,,25,injection,0.40,0.0000033,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 800 rpm (4.19 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,20,1.05,2835,,steel,PoD,dry,,25,injection,0.37,0.0000030,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 200 rpm (1.05 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,20,2.09,5643,,steel,PoD,dry,,25,injection,0.40,0.0000032,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 400 rpm (2.09 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,20,4.19,11313,,steel,PoD,dry,,25,injection,0.43,0.0000035,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 800 rpm (4.19 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,30,1.05,2835,,steel,PoD,dry,,25,injection,0.34,0.0000027,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 200 rpm (1.05 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,30,2.09,5643,,steel,PoD,dry,,25,injection,0.37,0.0000029,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 400 rpm (2.09 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,90,10,0,0,0,,,30,4.19,11313,,steel,PoD,dry,,25,injection,0.39,0.0000031,,,,10.1002/app.56119,line_graph,high,PA6 + 10 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 800 rpm (4.19 m/s); 45 min; Figs. 12 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,10,1.05,2835,,steel,PoD,dry,,25,injection,0.28,0.0000028,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 200 rpm (1.05 m/s); 45 min; Figs. 13 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,10,2.09,5643,,steel,PoD,dry,,25,injection,0.31,0.0000030,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 400 rpm (2.09 m/s); 45 min; Figs. 13 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,10,4.19,11313,,steel,PoD,dry,,25,injection,0.34,0.0000033,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 800 rpm (4.19 m/s); 45 min; Figs. 13 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,20,1.05,2835,,steel,PoD,dry,,25,injection,0.30,0.0000030,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 200 rpm (1.05 m/s); 45 min; Figs. 13 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,20,2.09,5643,,steel,PoD,dry,,25,injection,0.33,0.0000032,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 400 rpm (2.09 m/s); 45 min; Figs. 13 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,20,4.19,11313,,steel,PoD,dry,,25,injection,0.36,0.0000035,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 20 N; 800 rpm (4.19 m/s); 45 min; Figs. 13 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,30,1.05,2835,,steel,PoD,dry,,25,injection,0.27,0.0000027,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 200 rpm (1.05 m/s); 45 min; Figs. 13 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,30,2.09,5643,,steel,PoD,dry,,25,injection,0.30,0.0000029,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 400 rpm (2.09 m/s); 45 min; Figs. 13 and 14,pass,,
VIKRAM2024,PA6,80,20,0,0,0,,,30,4.19,11313,,steel,PoD,dry,,25,injection,0.33,0.0000031,,,,10.1002/app.56119,line_graph,high,PA6 + 20 mass% GF; DUCOM PoD vs EN31 steel; 30 N; 800 rpm (4.19 m/s); 45 min; Figs. 13 and 14,pass,,
