paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
KUMAR2024,PA66,0,0,0,2.5,95,GnPs,2.5,30,0.05,90,,steel,BoP,dry,,25,injection,0.177,0.00000048,,,,10.1002/pc.29270,bar_chart,high,PGM-5%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,2.5,95,GnPs,2.5,50,0.05,90,,steel,BoP,dry,,25,injection,0.231,0.00000058,,,,10.1002/pc.29270,bar_chart,high,PGM-5%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,5,90,GnPs,5,10,0.05,90,,steel,BoP,dry,,25,injection,0.473,0.00000067,,,,10.1002/pc.29270,bar_chart,high,PGM-10%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,5,90,GnPs,5,30,0.05,90,,steel,BoP,dry,,25,injection,0.520,0.00000092,,,,10.1002/pc.29270,bar_chart,high,PGM-10%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,5,90,GnPs,5,50,0.05,90,,steel,BoP,dry,,25,injection,0.627,0.00000155,,,,10.1002/pc.29270,bar_chart,high,PGM-10%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,0,100,,,10,0.25,450,,steel,BoP,dry,,25,injection,0.435,0.00000370,,,,10.1002/pc.29270,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 10 N; test duration 30 min (450 m); Fig. 11"
KUMAR2024,PA66,0,0,0,0,100,,,30,0.25,450,,steel,BoP,dry,,25,injection,0.540,0.00000523,,,,10.1002/pc.29270,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 30 N; test duration 30 min (450 m); Fig. 11"
KUMAR2024,PA66,0,0,0,0,100,,,50,0.25,450,,steel,BoP,dry,,25,injection,0.573,0.00000544,,,,10.1002/pc.29270,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 50 N; test duration 30 min (450 m); Fig. 11"
KUMAR2024,PA66,0,0,0,0.5,99,GnPs,0.5,10,0.25,450,,steel,BoP,dry,,25,injection,0.370,0.00000320,,,,10.1002/pc.29270,bar_chart,high,PGM-1%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 10 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,0.5,99,GnPs,0.5,30,0.25,450,,steel,BoP,dry,,25,injection,0.410,0.00000445,,,,10.1002/pc.29270,bar_chart,high,PGM-1%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 30 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,0.5,99,GnPs,0.5,50,0.25,450,,steel,BoP,dry,,25,injection,0.443,0.00000450,,,,10.1002/pc.29270,bar_chart,high,PGM-1%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 50 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,1.5,97,GnPs,1.5,10,0.25,450,,steel,BoP,dry,,25,injection,0.373,0.00000126,,,,10.1002/pc.29270,bar_chart,high,PGM-3%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 10 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,1.5,97,GnPs,1.5,30,0.25,450,,steel,BoP,dry,,25,injection,0.403,0.00000159,,,,10.1002/pc.29270,bar_chart,high,PGM-3%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 30 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,1.5,97,GnPs,1.5,50,0.25,450,,steel,BoP,dry,,25,injection,0.410,0.00000238,,,,10.1002/pc.29270,bar_chart,high,PGM-3%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 50 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,2.5,95,GnPs,2.5,10,0.25,450,,steel,BoP,dry,,25,injection,0.297,0.00000047,,,,10.1002/pc.29270,bar_chart,high,PGM-5%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 10 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,2.5,95,GnPs,2.5,30,0.25,450,,steel,BoP,dry,,25,injection,0.333,0.00000068,,,,10.1002/pc.29270,bar_chart,high,PGM-5%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 30 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,2.5,95,GnPs,2.5,50,0.25,450,,steel,BoP,dry,,25,injection,0.363,0.00000078,,,,10.1002/pc.29270,bar_chart,high,PGM-5%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 50 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,5,90,GnPs,5,10,0.25,450,,steel,BoP,dry,,25,injection,0.468,0.00000082,,,,10.1002/pc.29270,bar_chart,high,PGM-10%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 10 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,5,90,GnPs,5,30,0.25,450,,steel,BoP,dry,,25,injection,0.557,0.00000119,,,,10.1002/pc.29270,bar_chart,high,PGM-10%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 30 N; test duration 30 min (450 m); Fig. 11
KUMAR2024,PA66,0,0,0,5,90,GnPs,5,50,0.25,450,,steel,BoP,dry,,25,injection,0.607,0.00000318,,,,10.1002/pc.29270,bar_chart,high,PGM-10%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 25 Hz (0.25 m/s); load 50 N; test duration 30 min (450 m); Fig. 11
