paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
RANDHAWA2020,PA6,92,0,0,0,0,diboron trioxide,8,4.9,1.05,3000,,steel,PoD,dry,,27,injection,0.27,3.4023e-05,0.5001,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 39.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,100,0,0,0,0,,,9.81,1.05,1000,,steel,PoD,dry,,27,injection,0.26,4.8421e-05,0.4750,,,10.1088/1742-6596/1706/1/012124,line_graph,high,wear reported as linear wear = 37.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,98,0,0,0,0,diboron trioxide,2,9.81,1.05,1000,,steel,PoD,dry,,27,injection,0.23,4.5090e-05,0.4423,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 35.2 µm; pin dia = 4 mm
RANDHAWA2020,PA6,96,0,0,0,0,diboron trioxide,4,9.81,1.05,1000,,steel,PoD,dry,,27,injection,0.24,4.7140e-05,0.4624,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 36.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,92,0,0,0,0,diboron trioxide,8,9.81,1.05,1000,,steel,PoD,dry,,27,injection,0.27,5.1495e-05,0.5052,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 40.2 µm; pin dia = 4 mm
RANDHAWA2020,PA6,100,0,0,0,0,,,14.71,1.05,1000,,steel,PoD,dry,,27,injection,0.28,3.5196e-05,0.5177,,,10.1088/1742-6596/1706/1/012124,line_graph,high,wear reported as linear wear = 41.2 µm; pin dia = 4 mm
RANDHAWA2020,PA6,98,0,0,0,0,diboron trioxide,2,14.71,1.05,1000,,steel,PoD,dry,,27,injection,0.25,3.2121e-05,0.4725,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 37.6 µm; pin dia = 4 mm
RANDHAWA2020,PA6,96,0,0,0,0,diboron trioxide,4,14.71,1.05,1000,,steel,PoD,dry,,27,injection,0.27,3.5196e-05,0.5177,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 41.2 µm; pin dia = 4 mm
RANDHAWA2020,PA6,92,0,0,0,0,diboron trioxide,8,14.71,1.05,1000,,steel,PoD,dry,,27,injection,0.29,3.5709e-05,0.5253,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 41.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,100,0,0,0,0,,,4.9,1.57,1000,,steel,PoD,dry,,27,injection,0.22,9.6428e-05,0.4725,,,10.1088/1742-6596/1706/1/012124,line_graph,high,wear reported as linear wear = 37.6 µm; pin dia = 4 mm
RANDHAWA2020,PA6,98,0,0,0,0,diboron trioxide,2,4.9,1.57,1000,,steel,PoD,dry,,27,injection,0.20,8.7452e-05,0.4285,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 34.1 µm; pin dia = 4 mm
RANDHAWA2020,PA6,96,0,0,0,0,diboron trioxide,4,4.9,1.57,1000,,steel,PoD,dry,,27,injection,0.21,8.6682e-05,0.4247,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 33.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,92,0,0,0,0,diboron trioxide,8,4.9,1.57,1000,,steel,PoD,dry,,27,injection,0.25,1.0207e-04,0.5001,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 39.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,100,0,0,0,0,,,4.9,2.1,1000,,steel,PoD,dry,,27,injection,0.25,1.0233e-04,0.5014,,,10.1088/1742-6596/1706/1/012124,line_graph,high,wear reported as linear wear = 39.9 µm; pin dia = 4 mm
RANDHAWA2020,PA6,98,0,0,0,0,diboron trioxide,2,4.9,2.1,1000,,steel,PoD,dry,,27,injection,0.23,9.1299e-05,0.4474,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 35.6 µm; pin dia = 4 mm
RANDHAWA2020,PA6,96,0,0,0,0,diboron trioxide,4,4.9,2.1,1000,,steel,PoD,dry,,27,injection,0.24,9.0016e-05,0.4411,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 35.1 µm; pin dia = 4 mm
RANDHAWA2020,PA6,92,0,0,0,0,diboron trioxide,8,4.9,2.1,1000,,steel,PoD,dry,,27,injection,0.27,1.0207e-04,0.5001,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 39.8 µm; pin dia = 4 mm
