paper_id,full_title,authors,journal,year,doi,pdf_filename,access_type,extraction_status,notes
GNPCFPBO2019,Synergetic effect of GNP CF PBO on tribological properties of PA66,Composites B study,Composites Part B,2019,10.1016/j.compositesb.2018.12.105,GNPCFPBO2019.pdf,institutional,done,hybrid GNP+CF+coupling agent; RuntimeError: Gemini did not return paper context
NURUZZAMAN2016,Experimental investigation on the mechanical properties of glass fiber reinforced nylon,Nuruzzaman et al.,IOP Conference Series: Materials Science and Engineering,2016,10.1088/1757-899X/114/1/012118,,open,skipped,No tribological / sliding wear data (tensile and Izod impact only)
PA66GFPTFE2009,Study on friction and wear behaviors of modified PA66 composites,ResearchGate study,Journal,2009,researchgate.net/publication/232819547,PA66GFPTFE2009.pdf,open,pending,GF+PTFE+MoS2 combos
GNP2026,Thermal mechanical and tribological behavior of GnP-PA66 composites,ChemistrySelect study,ChemistrySelect,2026,10.1002/slct.202507442,GNP2026.pdf,institutional,pending,GnP 1-3-5-10wt%
KIM2014,Friction and wear of monolithic and GFR-PA66 in humid conditions,Kim et al.,Wear,2014,10.1016/j.wear.2013.11.007,KIM2014.pdf,institutional,pending,dry vs water-absorbed
PA66TEMP2019,Temperature pressure velocity influence on PA66 and PA46 tribology,MDPI study,Materials,2019,mdpi.com/1996-1944/12/20/3452,PA66TEMP2019.pdf,open,done,temperature variable
PA6B2O32021,Tribological performance of self-lubricated water conditioned PA6-B2O3,ResearchGate study,Journal,2021,researchgate.net/publication/353386067,PA6B2O32021.pdf,open,done,water conditioning B2O3
PA6SiC2020,"Dataset on tribological, characterization and thermal properties of Silicon carbide reinforced polyamide composites for industrial applications",ResearchGate study,Data in Brief,2020,https://www.sciencedirect.com/science/article/pii/S2352340920305564,PA6SiC2020.pdf,open,done,silicon carbide (SiC) reinforced PA6
ZAGHLOUL2023,Assessment of the tribological performance of glass fibre reinforced polyamide 6 under harsh abrasive environments,Zaghloul et al.,Tribology International,2023,10.1016/j.triboint.2023.109059,ZAGHLOUL2023.pdf,open,done,GFR-PA6 under harsh abrasive environments
VIKRAM2024,"Thermal kinetic, mechanical and wear properties of glass fiber reinforced polyamide 6 thermoplastic composites",Vikram et al.,Journal of Applied Polymer Science,2024,10.1002/app.56119,VIKRAM2024.pdf,institutional,done,thermal kinetic mechanical and wear properties of GFR-PA6; RuntimeError: Gemini did not return extracted CSV
LI2010,Mechanical and tribological properties of polyamide 6–polyurethane block copolymer reinforced with short glass fibers,Li et al.,Wear,2010,10.1016/j.wear.2010.04.004,LI2010.pdf,institutional,done,PA6-PU block copolymer reinforced with short glass fibers; ValueError: Gemini response did not start with the required exact CSV header; saved raw response to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/LI2010_raw_response.txt
ZAVRAZHIN2025,The Effect of Preliminary Mixing Methods on the Properties of PA6 Composites with Molybdenum Disulphide,Zavrazhin et al.,Sci,2025,10.3390/sci7040178,ZAVRAZHIN2025.pdf,open,done,PA6 with MoS2 premixing and mechanical activation
LI2013,Tribological properties of solid lubricants filled glass fiber reinforced polyamide 6 composites,Li et al.,Materials & Design,2013,10.1016/j.matdes.2012.11.011,LI2013.pdf,institutional,done,solid lubricants filled GFR-PA6 composites; ValueError: Gemini response did not start with the required exact CSV header; saved raw response to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/LI2013_raw_response.txt
LORBER2025,Basalt fibers as a sustainable alternative to glass fibers in the reinforcement of polyamide 6 for gear applications,Lorber et al.,Express Polymer Letters,2025,10.3144/expresspolymlett.2025.83,LORBER2025.pdf,open,done,PA6 with basalt vs glass fibers for gear applications
JAPIC2022,Effect of Expanded Graphite on Mechanical and Tribological Properties of Polyamide 6/Glass Fibre Composites,Japic et al.,Advances in Polymer Technology,2022,10.1155/2022/9974889,JAPIC2022.pdf,open,done,PA6 with glass fibre and expanded graphite
SATHEESKUMAR2016b,Investigation on Mechanical and Tribological Behaviors of PA6 and Graphite-Reinforced PA6 Polymer Composites,Satheeskumar & Kanagaraj,Arabian Journal for Science and Engineering,2016,10.1007/s13369-016-2126-2,SATHEESKUMAR2016b.pdf,institutional,done,PA6 reinforced with graphite composites; ValueError: Gemini response did not start with the required exact CSV header; saved raw response to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/SATHEESKUMAR2016b_raw_response.txt
YOU2014,Investigation of the influence of solid lubricants on the tribological properties of polyamide 6 nanocomposite,You et al.,Wear,2014,10.1016/j.wear.2013.12.018,YOU2014.pdf,institutional,done,PA6 nanocomposite with solid lubricants; RuntimeError: Gemini did not return extracted CSV
ZAGHLOUL2023b,Mechanical and Tribological Performances of Thermoplastic Polymers Reinforced with Glass Fibres at Variable Fibre Volume Fractions,Zaghloul et al.,Polymers,2023,10.3390/polym15030694,ZAGHLOUL2023b.pdf,open,done,PA6 with glass fibre at variable volume fractions
KHAKBAZ2024,Tribological and mechanical characterization of glass fiber polyamide composites under hydrothermal aging,Khakbaz et al.,Polymer Degradation and Stability,2024,10.1016/j.polymdegradstab.2024.110870,KHAKBAZ2024.pdf,institutional,done,GFR-PA composites under hydrothermal aging; ValueError: Gemini response was not parseable CSV; saved to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/KHAKBAZ2024_raw_response.txt
CHEN2022,Achieving enhanced interfacial adhesion and highly oriented structure in PA6/Graphite composites for excellent tribological performance,Chen et al.,Composites Science and Technology,2022,10.1016/j.compscitech.2022.109719,CHEN2022.pdf,institutional,done,PA6 with graphite oriented composites
BASAVARAJ2013,"Polyamide 6/carbon black/molybdenum disulphide composites: Friction, wear and morphological characteristics",Basavaraj et al.,Materials Chemistry and Physics,2013,10.1016/j.matchemphys.2012.12.035,BASAVARAJ2013.pdf,institutional,done,PA6 with carbon black and MoS2 composites
KUMAR2024,"Experimental analysis on the microstructural, mechanical, thermal and tribological properties of graphene nanoplatelets and molybdenum disulfide filled polyamide-6,6 novel hybrid composite",Kumar et al.,Polymer Composites,2024,10.1002/pc.29270,KUMAR2024.pdf,institutional,done,PA66 with GnP and MoS2 hybrid composite
BIRYUKOV2023,Tribotechnical characteristics of polyamide PA 6 with additives of molybdenum disulfide and graphite,Biryukov & Yakubovsky,E3S Web of Conferences,2023,10.1051/e3sconf/202345802018,BIRYUKOV2023.pdf,open,done,PA6 with MoS2 and graphite
ZHOU2018,Facile preparation of multiscale graphene-basalt fiber reinforcements and their enhanced mechanical and tribological properties for polyamide 6 composites,Zhou et al.,Materials Chemistry and Physics,2018,10.1016/j.matchemphys.2018.06.080,ZHOU2018.pdf,institutional,done,PA6 with graphene-basalt fiber reinforcements
WANG2018,Interfacial modification of basalt fiber filling composites with graphene oxide and polydopamine for enhanced mechanical and tribological properties,Wang et al.,RSC Advances,2018,10.1039/c8ra00106e,WANG2018.pdf,open,done,"PA6 with basalt fiber, GO, and PDA"
BOLAT2024,"Wear performance of short fiber added polyamide composites produced by additive manufacturing: Combined impacts of secondary heat treatment, reinforcement type, and test force",Bolat & Ergene,Polymer Composites,2024,10.1002/pc.28236,BOLAT2024.pdf,institutional,done,AM 3D printed PA with short fiber reinforcements and heat treatment
LI2024,Study on Tribological Properties of Gear Material PA66 Reinforced by Glass Fibers,Li et al.,Tribology Letters,2024,10.1007/s11249-024-01941-6,LI2024.pdf,institutional,done,PA66 reinforced with glass fibers for gear applications
WALCZAK2022,Effect of Water Absorption on Tribological Properties of Thermoplastics Matrix Composites Reinforced with Glass Fibres,Walczak et al.,Advances in Science and Technology Research Journal,2022,10.12913/22998624/147515,WALCZAK2022.pdf,open,done,PA6 and PA66 with glass fibres under dry vs water absorption
MYALSKI2020,Effect of Carbon Fillers on the Wear Resistance of PA6 Thermoplastic Composites,Myalski et al.,Polymers,2020,10.3390/polym12102264,MYALSKI2020.pdf,open,done,"PA6 with carbon fillers (glassy carbon, pyrolytic carbon)"
GRAF2026,Surface dynamics of solid-lubricated PA66 with glass fibers under high load,Graf et al.,Tribology International,2026,10.1016/j.triboint.2026.112221,GRAF2026.pdf,institutional,done,PA66 with glass fibers and solid lubricants under high load
KUMAR2025,"Effect of Molybdenum Disulfide (MoS2) Reinforcement on the Structural, Thermal, Mechanical, and Tribological Analysis of Novel Polyamide 6,6 (PA 6,6) Composites",Kumar et al.,Journal of Applied Polymer Science,2025,10.1002/app.57081,KUMAR2025.pdf,institutional,done,PA66 reinforced with MoS2 composites
UNNIKRISHNAN2022,Multifunctional PA6 composites using waste glass fiber and green metal organic framework/graphene hybrids,Unnikrishnan et al.,Polymer Composites,2022,10.1002/pc.27002,UNNIKRISHNAN2022.pdf,institutional,failed,"No tribological / sliding wear data (tensile, thermal, and EMI shielding only); ValueError: Gemini CSV is missing schema columns or rows; saved to /Users/saiadithyaa/Documents/ChatGPT/final_year_project/logs/UNNIKRISHNAN2022_raw_response.txt; RuntimeError: Gemini did not return extracted CSV"
JOZWIK2020,Analysis and Comparative Assessment of Basic Tribological Properties of Selected Polymer Composites,Józwik et al.,Materials,2020,10.3390/ma13010075,JOZWIK2020.pdf,open,done,PA6-G with oil and PA6-G with MoS2 vs other polymer composites
KARATAS2019,"Synergetic effect of graphene nanoplatelet, carbon fiber and coupling agent addition on the tribological, mechanical and thermal properties of polyamide 6,6 composites",Karatas et al.,Composites Part B: Engineering,2019,10.1016/j.compositesb.2019.01.014,KARATAS2019.pdf,institutional,done,"PA66 with GnP, CF, and coupling agent (PBO)"
AVALLE2018,Tribological characterization of modified polymeric blends,Avalle & Romanello,Procedia Structural Integrity,2018,10.1016/j.prostr.2017.12.026,AVALLE2018.pdf,open,done,Tribological characterization of PA and TPU blends with additives
PALABIYIK2002,Tribological studies of polyamide 6 and high-density polyethylene blends filled with PTFE and copper oxide and reinforced with short glass fibers,Palabiyik & Bahadur,Wear,2002,10.1016/S0043-1648(02)00144-8,PALABIYIK2002.pdf,institutional,done,"PA6/HDPE blends filled with PTFE, CuO, and short GF"
RANDHAWA2020,Tribological behaviour of PA6/diborontrioxide composites,Randhawa & Patel,Journal of Physics: Conference Series,2020,10.1088/1742-6596/1706/1/012124,RANDHAWA2020.pdf,open,done,PA6 reinforced with diboron trioxide (B2O3)
OZSARIKAYA2025,"Effect of silicone, molybdenum disulfide, and multi-walled carbon nanotube on the tribological, mechanical, and thermal properties of polyamide 66/carbon fibre composites",Özsarıkaya et al.,Materials Science and Engineering: B,2025,10.1016/j.mseb.2025.118016,OZSARIKAYA2025.pdf,institutional,done,"PA66/CF composites with silicone, MoS2, and MWCNTs"
MAN2021,Friction and wear behaviour of additively manufactured continuous carbon fibre reinforced PA6 composites,Man et al.,Composites Part B: Engineering,2021,10.1016/j.compositesb.2021.109332,MAN2021.pdf,institutional,done,FDM 3D printed PA6 with continuous carbon fiber (CCF)
CARTLEDGE1996,Friction and wear mechanisms of a thermoplastic composite GF/PA6 subjected to different thermal histories,Cartledge et al.,Wear,1996,10.1016/0043-1648(95)06839-2,CARTLEDGE1996.pdf,institutional,done,GF/PA6 under different thermal histories / cooling rates
RAJESH2001,Influence of fillers on abrasive wear of short glass fibre reinforced polyamide composites,Rajesh et al.,Journal of Materials Science,2001,10.1023/A:1004812109247,RAJESH2001.pdf,institutional,pending,Abrasive wear of SGF-reinforced PA composites with secondary fillers
SOUNDARARAJAN2019,Appraisal of Mechanical and Tribological Properties on PA6-TiO2 Composites through Fused Deposition Modelling,Soundararajan et al.,Materials Today: Proceedings,2019,10.1016/j.matpr.2019.07.084,SOUNDARARAJAN2019.pdf,institutional,done,FDM 3D printed PA6 with TiO2 nanoparticles
KUNISHIMA2021,"Comparison of the Tribological Properties of Carbon/Glass Fiber Reinforced PA66-Based Composites in Contact with Steel, With and Without Grease Lubrication",Kunishima et al.,Wear,2021,10.1016/j.wear.2021.203899,KUNISHIMA2021.pdf,institutional,done,"PA66 with CF and GF in contact with steel (dry vs grease lubricated)"
DIFALLAH2020,"On the Role of Solid Lubricant Fillers in the Tribological, Micromechanical, and Morphological Properties of PA66 Composites",Difallah et al.,Journal of Tribology,2020,10.1115/1.4045804,DIFALLAH2020.pdf,institutional,pending,"PA66 with MoS2 and graphite solid lubricants on ball-on-flat tribometer"
VAIDYA2022,"Tribo-mechanical characterisation of MoS2 and H-BN reinforced PA66 composite",Vaidya et al.,Australian Journal of Mechanical Engineering,2022,10.1088/14484846.2022.2073019,VAIDYA2022.pdf,institutional,pending,"PA66 reinforced with MoS2 and hexagonal boron nitride (h-BN)"
